Polling agency,Date published,Sample size,Margin of Error,NDA,I.N.D.I.A.,Others,Lead,Polling Agency Quality Score,Sample Size Score,Margin of Error Score,Days to Election,Recency Score,Overall Poll Quality,WMA_NDA_Rounded,WMA_I.N.D.I.A._Rounded,WMA_Others_Rounded
India Today-CVoter,2024-02-01,149092,35.0,344.532659933,160.247138047,42.0,NDA,0.8958345560000001,1.1507169811320754,-10.666666666666666,121,1.1032786885245902,0.47715187541612536,342.0,159.0,42.0
Times Now-Matrize,2024-02-01,156843,2.0,375.532659933,98.24713804699999,73.0,NDA,0.8965096925,1.2038970840480274,0.33333333333333337,121,1.1032786885245902,1.043274690415911,358.0,128.0,58.0
ABP-CVoter,2023-12-01,200000,35.0,324.532659933,179.247138047,50.0,NDA,0.9129573044999999,1.5,-10.666666666666666,183,0.9,0.5049059927916667,349.0,138.0,56.0
Times Now-ETG,2023-12-01,147231,3.0,338.532659933,152.247138047,57.0,NDA,0.8965096925,1.1379485420240139,0.0,183,0.9,0.9255119857322041,346.0,141.0,56.0
India TV-CNX,2023-10-01,54250,3.0,324.532659933,166.247138047,56.0,NDA,1.075848133,0.5,0.0,244,0.7,0.6989620332500001,342.0,145.0,56.0
Times Now-ETG,2023-10-01,135100,3.0,316.532659933,169.247138047,61.0,NDA,0.8965096925,1.0547169811320756,0.0,244,0.7,0.8205425174646226,338.0,148.0,57.0
Times Now-ETG,2023-08-01,110662,3.0,320.532659933,169.247138047,60.0,NDA,0.8965096925,0.8870463121783876,0.0,305,0.5,0.6902413167785163,336.0,150.0,57.0
India Today-CVoter,2023-08-01,160438,35.0,315.532659933,187.247138047,54.0,NDA,0.8958345560000001,1.2285626072041165,-10.666666666666666,305,0.5,0.25919408782790165,335.0,151.0,57.0
