Polling agency,Date published,Margin of Error,NDA,I.N.D.I.A.,Others,Lead
ABP News-CVoter,December 2023,35,10,1,0,NDA
Times Now-ETG,December 2023,3,11,1,0,NDA
India TV-CNX,October 2023,3,7,4,0,NDA
Times Now-ETG,September 2023,3,8,3,0,NDA
Times Now-ETG,August 2023,3,7,4,0,NDA
