Polling agency,Date published,Margin of Error,NDA,I.N.D.I.A.,AIUDF,Lead
India Today-CVoter,February 2024,35,12,2,0,
ABP-CVoter,December 2023,35,,,,
Times Now-ETG,December 2023,3,10,4,1,NDA
India TV-CNX,October 2023,3,12,1,1,NDA
Times Now-ETG,September 2023,3,8,5,1,NDA
Times Now-ETG,August 2023,3,10,4,1,NDA
