Polling agency,Date published,Margin of Error,I.N.D.I.A.,NDA,Others,Lead
India Today-CVoter,February 2024,35,3,2,0,I.N.D.I.A.
Times Now-ETG,December 2023,3,3,2,1,I.N.D.I.A.
India TV-CNX,October 2023,3,2,2,1,Tie
Times Now-ETG,September 2023,3,4,2,1,I.N.D.I.A.
Times Now-ETG,August 2023,3,3,2,1,I.N.D.I.A.
