Polling agency,Date published,Sample size,Margin of Error,NDA,I.N.D.I.A.,Others,Lead,Days to Election,Polling Agency Quality Score,Sample Size Score,Margin of Error Score,Recency Score,Overall Poll Quality,WMA_NDA_Rounded,WMA_INDIA_Rounded,WMA_Others_Rounded
Times Now-ETG,2023-08-15,110662,3,320.532659933,169.247138047,60.0,NDA,291,0.8965096925,1.1977365491651206,0.5,0.5,0.8084483878745362,317.0,167.0,59.0
India TV-CNX,2023-10-15,54250,3,324.532659933,166.247138047,56.0,NDA,230,1.075848133,0.5,0.5,0.7096219931271478,0.7278108305008593,319.0,166.0,58.0
Times Now-ETG,2023-10-15,135100,3,316.532659933,169.247138047,61.0,NDA,230,0.8965096925,1.5,0.5,0.7096219931271478,0.9829762203758591,317.0,167.0,59.0
