Polling agency,Date published,Margin of Error,NDA,I.N.D.I.A.,Others,Lead
India Today-CVoter,December 2023,±3-5%,0,1,0,I.N.D.I.A.
Times Now-ETG,December 2023,±3%,0,1,0,I.N.D.I.A.
India TV-CNX,October 2023,±3%,0,1,0,I.N.D.I.A.
Times Now-ETG,September 2023,±3%,0,1,0,I.N.D.I.A.
Times Now-ETG,August 2023,±3%,0,1,0,I.N.D.I.A.
