Polling agency,Date published,Margin of Error,NDA,I.N.D.I.A.,Others,Lead
India Today-CVoter,February 2024,±3-5%,24,4,0,NDA
ABP-CVoter,December 2023,±3-5%,23,5,0,NDA
Times Now-ETG,December 2023,±3%,21,7,1,NDA
India TV-CNX,October 2023,±3%,18,10,0,NDA
Times Now-ETG,September 2023,±3%,20,8,0,NDA
Times Now-ETG,August 2023,±3%,19,9,1,NDA
