Polling agency,Date published,Sample size,Margin of Error,NDA,I.N.D.I.A.,Others,Lead,Days to Election,Polling Agency Quality Score,Sample Size Score,Margin of Error Score,Recency Score,Overall Poll Quality,WMA_NDA_Rounded,WMA_INDIA_Rounded,WMA_Others_Rounded
Times Now-ETG,2023-08-15,110662,3.0,320.532659933,169.247138047,60.0,NDA,291,0.8965096925,0.5037975184591494,0.5,0.5,0.6002666786627449,317.0,167.0,59.0
India Today-CVoter,2023-08-15,160438,35.0,315.532659933,187.247138047,54.0,NDA,291,0.8958345560000001,0.5071483175590328,-10.166666666666666,0.5,0.06776980093437657,316.0,168.0,59.0
India TV-CNX,2023-10-15,54250,3.0,324.532659933,166.247138047,56.0,NDA,230,1.075848133,0.5,0.5,0.7096219931271478,0.7278108305008593,318.0,167.0,58.0
Times Now-ETG,2023-10-15,135100,3.0,316.532659933,169.247138047,61.0,NDA,230,0.8965096925,0.5054426251049817,0.5,0.7096219931271478,0.6846090079073536,317.0,167.0,58.0
ABP-CVoter,2023-12-15,200000,35.0,324.532659933,179.247138047,50.0,NDA,169,0.9129573044999999,0.5098115350531984,-10.166666666666666,0.9192439862542956,0.24054704780934444,317.0,168.0,58.0
Times Now-ETG,2023-12-15,147231,3.0,338.532659933,152.247138047,57.0,NDA,169,0.8965096925,0.5062592544822054,0.5,0.9192439862542956,0.7687027939713799,320.0,166.0,58.0
India Today-CVoter,2024-02-15,14909214,35.0,344.532659933,160.247138047,42.0,NDA,107,0.8958345560000001,1.5,-10.166666666666666,1.1323024054982818,0.6185462678659794,322.0,165.0,56.0
Times Now-Matrize,2024-02-15,156843,2.0,375.532659933,98.24713804699999,73.0,NDA,107,0.8965096925,0.5069063109139813,0.8333333333333333,1.1323024054982818,0.8707869452651738,327.0,158.0,58.0
