Polling agency,Date published,Margin of Error,NDA,I.N.D.I.A.,Others,Lead
India Today-CVoter,February 2024,±3-5%,27,2,0,NDA
ABP News-CVoter,December 2023,±3-5%,28,1,0,NDA
Times Now-ETG,December 2023,±3%,29,1,0,NDA
India TV-CNX,October 2023,±3%,25,4,0,NDA
Times Now-ETG,September 2023,±3%,26,3,0,NDA
Times Now-ETG,August 2023,±3%,25,4,0,NDA
